month,sample_size,nucleotide_diversity,country
2021-11-01,813,7.465133717671358e-4,Canada
2021-12-01,724,0.00470377900136373,Canada
2022-01-01,701,0.00122293739684563,Canada
2022-02-01,690,0.00150724623249257,Canada
2022-03-01,721,0.0021048772380898,Canada
2022-04-01,916,9.972044638098057e-4,Canada
2022-05-01,914,7.362446916291783e-4,Canada
2022-06-01,884,9.809942337765168e-4,Canada
2022-07-01,882,6.078716917184555e-4,Canada
2022-08-01,882,4.699350902486677e-4,Canada
2022-09-01,884,6.560568667057753e-4,Canada
2022-10-01,857,8.722332297405273e-4,Canada
2022-11-01,876,0.00107391865828058,Canada
2022-12-01,888,0.00118249152514195,Canada
2023-01-01,790,0.00144391023137825,Canada
2023-02-01,686,0.00260354413447639,Canada
2023-03-01,574,0.00275475619681315,Canada
2023-04-01,625,0.00185810300439392,Canada
2023-05-01,616,0.00147728731459083,Canada
2023-06-01,650,0.00138283877757071,Canada
2023-07-01,697,0.0016401226797265,Canada
2023-08-01,562,0.00194474957640419,Canada
2023-09-01,841,0.00197412794249638,Canada
2023-10-01,869,0.00217582350560456,Canada
2023-11-01,828,0.00305121973919739,Canada
2023-12-01,830,0.00582685425523772,Canada
2024-01-01,826,0.0037486681198173,Canada
2024-02-01,893,0.00138834522701568,Canada
2024-03-01,911,0.00118861502222728,Canada
2024-04-01,900,0.0011715162725201,Canada
2024-05-01,925,0.00123017819919131,Canada
2024-06-01,911,0.00114995340592423,Canada
2024-07-01,894,0.00114358409619583,Canada
2024-08-01,858,0.00104797647243581,Canada
2024-09-01,893,9.660909554361222e-4,Canada
2024-10-01,814,9.806058500239974e-4,Canada
2024-11-01,755,0.00113932601082285,Canada
2024-12-01,799,0.00123478796994686,Canada
2025-01-01,696,0.00158847192158278,Canada
2025-02-01,761,0.00172240874505467,Canada
2020-03-01,43,3.413964552722901e-4,Mexico
2020-04-01,408,1.8990641044347697e-4,Mexico
2020-05-01,469,3.2121264377798744e-4,Mexico
2020-06-01,391,4.346449106986507e-4,Mexico
2020-07-01,321,4.687995127452389e-4,Mexico
2020-08-01,299,5.195959783576945e-4,Mexico
2020-09-01,182,8.00833225887513e-4,Mexico
2020-10-01,170,6.489976487722854e-4,Mexico
2020-11-01,353,9.592620118663988e-4,Mexico
2020-12-01,619,0.00107082447322914,Mexico
2021-01-01,653,0.00114510340982993,Mexico
2021-02-01,893,8.538492541591517e-4,Mexico
2021-03-01,739,0.00110205602951321,Mexico
2021-04-01,676,0.00153959297379678,Mexico
2021-05-01,646,0.00264802239143209,Mexico
2021-06-01,700,0.00341822490872585,Mexico
2021-07-01,625,0.00237682518501789,Mexico
2021-08-01,632,0.00152354214252436,Mexico
2021-09-01,760,0.00129282410087074,Mexico
2021-10-01,668,0.00125926668136264,Mexico
2021-11-01,716,0.00130309474061824,Mexico
2021-12-01,612,0.00464582465505139,Mexico
2022-01-01,482,0.00177137583988384,Mexico
2022-02-01,430,0.00104105608082516,Mexico
2022-03-01,449,0.00196594156582689,Mexico
2022-04-01,458,0.00240221815752985,Mexico
2022-05-01,665,0.00139142675947623,Mexico
2022-06-01,632,0.00120953491827656,Mexico
2022-07-01,736,6.342418899260326e-4,Mexico
2022-08-01,780,5.170045108550408e-4,Mexico
2022-09-01,849,7.145319405849889e-4,Mexico
2022-10-01,559,0.00103099314492467,Mexico
2022-11-01,878,0.00123471202868786,Mexico
2022-12-01,726,0.00175127201456972,Mexico
2023-01-01,587,0.00263669908828528,Mexico
2023-02-01,289,0.00228031959347166,Mexico
2023-03-01,392,9.942443964570502e-4,Mexico
2023-04-01,540,6.533685673079514e-4,Mexico
2023-05-01,648,8.310436257542004e-4,Mexico
2023-06-01,410,0.0010757562972515,Mexico
2023-07-01,412,0.00138886606124872,Mexico
2023-08-01,554,0.00150173366768515,Mexico
2023-09-01,298,0.0016314044248089,Mexico
2023-10-01,161,0.00197488884401506,Mexico
2023-11-01,81,0.00291543905304385,Mexico
2023-12-01,123,0.00606112412411589,Mexico
2024-01-01,487,0.00305320042687901,Mexico
2024-02-01,514,0.00185226393806677,Mexico
2024-03-01,243,0.00140753300279911,Mexico
2024-04-01,107,0.00106013625990629,Mexico
2024-05-01,121,0.00163068269000281,Mexico
2024-06-01,182,0.00183826344379256,Mexico
2024-07-01,650,0.00158470709588629,Mexico
2024-08-01,176,0.00151631897510605,Mexico
2024-09-01,36,0.00169425919551082,Mexico
